"filename", "language", "JavaScript React", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"c:\Users\User\Desktop\Emerald\src\styles\FeaturedSection_Styles.js", "JavaScript", 0, 80, 0, 0, 0, 14, 94
"c:\Users\User\Desktop\Emerald\src\styles\Global_Styles.js", "JavaScript", 0, 102, 0, 0, 45, 28, 175
"c:\Users\User\Desktop\Emerald\src\styles\HeaderDetail_Styles.js", "JavaScript", 0, 226, 0, 0, 7, 45, 278
"c:\Users\User\Desktop\Emerald\src\styles\Link_Button.js", "JavaScript", 0, 161, 0, 0, 0, 28, 189
"c:\Users\User\Desktop\Emerald\src\styles\ProductDetail_Styles.js", "JavaScript", 0, 623, 0, 0, 0, 110, 733
"c:\Users\User\Desktop\Emerald\src\styles\Section_Title.js", "JavaScript", 0, 35, 0, 0, 0, 8, 43
"c:\Users\User\Desktop\Emerald\src\styles\ShowcaseArrows_Styles.js", "JavaScript", 0, 39, 0, 0, 0, 8, 47
"c:\Users\User\Desktop\Emerald\src\styles\Slider_Styles.js", "JavaScript", 0, 171, 0, 0, 0, 27, 198
"c:\Users\User\Desktop\Emerald\src\styles\typography.css", "CSS", 0, 0, 0, 103, 1, 10, 114
"c:\Users\User\Desktop\Emerald\src\template\TemplateItem.js", "JavaScript", 0, 79, 0, 0, 1, 5, 85
"Total", "-", 4586, 2498, 53, 295, 173, 1029, 8634
